@RELATION data

@ATTRIBUTE 50daymovingaverage REAL
@ATTRIBUTE volume REAL
@ATTRIBUTE market/bookratio REAL
@ATTRIBUTE p/e REAL
@ATTRIBUTE debt/equityratio REAL
@ATTRIBUTE freecashflowyield REAL
@ATTRIBUTE class {FALSE,TRUE}

@DATA
0.875006091,63089600,3.696965637,2.374752031,0.662396204,0.00203438,TRUE
0.838609381,72584400,3.520804708,2.261594766,0.662396204,0.002128966,TRUE
0.875727242,87864000,3.648702305,2.34375,0.662396204,0.002059448,TRUE
0.844793289,69361600,3.491846606,2.242993481,0.662396204,0.002145363,TRUE
0.868561072,62143200,3.566654693,2.29104658,0.662396204,0.002103511,TRUE
0.863760836,75891200,3.520804708,2.261594766,0.662396204,0.002128966,TRUE
0.920246334,98501200,3.730749918,2.39645342,0.662396204,0.002017192,TRUE
0.969929214,125347600,3.909323935,2.511160738,0.662396204,0.001930962,TRUE
1.068539644,122500000,4.295430073,2.759176658,0.662396204,0.001767589,FALSE
1.034894577,116928000,4.150640078,2.666170564,0.662396204,0.001825508,TRUE
0.99631055,51241400,3.991371548,2.563864158,0.662396204,0.001893767,TRUE
1.044414775,46338600,4.17959818,2.684771849,0.662396204,0.001813623,TRUE
1.000202329,50867600,3.996197726,2.566964262,0.662396204,0.001891624,TRUE
1.055204413,71607200,4.203729846,2.700272865,0.662396204,0.001803836,FALSE
0.998134613,50915200,3.957587267,2.542162769,0.662396204,0.001908908,TRUE
1.023308362,80774400,4.044461058,2.597966293,0.662396204,0.001870454,FALSE
1.044124327,17707200,4.148685891,6.141992923,0.659961686,0.011901641,FALSE
1.0145021,66304000,4.017367688,5.947580645,0.659961686,0.012260476,TRUE
1.023150496,77386400,4.031958686,5.969182138,0.659961686,0.01221954,FALSE
1.077633555,65900800,4.236231619,6.271601492,0.659961686,0.011673863,FALSE
1.133639877,99449000,4.445368045,6.581221088,0.659961686,0.011163476,FALSE
1.132207925,89474000,4.430777047,6.559619596,0.659961686,0.011197632,FALSE
1.172265087,56358400,4.581550001,6.782833992,0.659961686,0.010854459,FALSE
1.126069278,111414800,4.396731558,6.50921637,0.659961686,0.011278147,FALSE
1.149665136,47569200,4.489141039,6.646025565,0.659961686,0.011062247,FALSE
1.160747389,65000600,4.537777526,6.718030284,0.659961686,0.010951903,FALSE
1.139285808,79601200,4.45509555,6.59562234,0.659961686,0.011140821,FALSE
1.049483213,114468200,4.100049664,6.069988589,0.659961686,0.012032066,FALSE
1.096984225,116393200,4.289731599,6.350806452,0.659961686,0.011538908,FALSE
1.064236037,49058800,4.168140641,6.170795041,0.659961686,0.011850258,FALSE
0.96842065,103042800,3.788776511,5.609158931,0.659961686,0.01293959,FALSE
0.99725787,52901800,3.89577673,5.767569234,0.659961686,0.012612577,FALSE
